NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
2.4,1.01,0,0.36,high,77,60,7.5,66
2.03,1.56,0,0.17,high,79,21,8,29
1.37,2,0.14,0.22,high,64,11,7.5,41
1.95,0.86,0.59,0.31,high,85,56,7.9,417
1.93,1.58,0,0.19,high,91,15,8.8,207
1.33,1.68,0.13,0.57,high,88,36,8.1,840
0.58,2.48,0.04,0.59,high,81,27,7.6,56
2.13,1.18,0.01,0.35,high,94,27,8.5,128
1.58,1.59,0.08,0.41,high,67,15,7.3,13
1.65,1.21,0,0.79,high,74,34,8.4,31
2.53,0.81,0.06,0.24,high,82,42,7.9,82
2.08,1.09,0.15,0.33,high,90,35,8.7,312
0.05,0,0.64,2.93,high,82,10,7.9,38
2.08,0.83,0.46,0.25,high,96,38,8.9,1013
2.32,0.96,0,0.34,high,86,18,7.6,71
0.6,2.45,0.05,0.52,high,91,56,7.6,203
1.93,1.22,0.03,0.44,high,82,36,8.7,142
2.02,1.17,0,0.42,high,64,23,7.7,32
2.38,0.67,0.46,0.1,high,78,34,8.5,161
1.35,1.55,0.17,0.51,high,85,18,6.9,1580
2.18,1.02,0.03,0.37,high,84,30,9,268
1.6,1.49,0.1,0.39,high,70,39,8,9
1.56,1.4,0.07,0.5,high,78,49,7.8,112
1.23,1.77,0.05,0.49,high,72,49,6.8,88
1.9,1.13,0.1,0.41,high,72,27,7.9,48
0.71,2.39,0.02,0.4,high,88,66,7.5,155
2.66,0.49,0.05,0.3,high,89,67,7.9,1309
2.27,0.9,0,0.33,high,72,59,4.1,1005
2.11,0.93,0.12,0.34,high,83,91,7.5,523
2.85,0.38,0.03,0.24,high,89,81,8.3,693
0.59,2.36,0.04,0.51,high,84,20,6.4,76
1.3,1.42,0.27,0.5,high,80,14,5.8,579
2.2,0.95,0.02,0.31,high,92,78,8.7,1080
2.15,1.01,0.02,0.31,high,79,21,5.6,542
2.1,1.01,0.04,0.32,high,88,75,8.6,869
2.1,1.01,0.01,0.35,high,71,70,8.8,29
0.59,1.79,0.73,0.34,high,83,30,8.4,28
2.4,0.71,0.03,0.29,high,84,83,8.2,715
1.55,1.27,0.33,0.29,high,79,23,8.3,126
1.13,2.07,0,0.22,high,70,15,8,67
1.09,1.36,0.49,0.48,high,93,86,8.2,3943
1.75,1.2,0.02,0.43,high,80,50,8.9,106
0.46,2.28,0.05,0.61,high,88,15,6.7,35
1.83,1.05,0.06,0.46,high,91,86,8.4,657
1.56,1.47,0.19,0.17,high,68,12,8.2,99
0.81,1.99,0.07,0.52,high,76,86,6.8,1319
2.04,1.02,0,0.32,high,76,49,7.9,75
2.14,0.92,0,0.31,high,75,11,5.5,1735
0.88,1.7,0.1,0.67,high,90,32,8.5,1041
1.45,1.29,0.12,0.46,high,77,20,8.5,66
1.47,1.39,0.03,0.43,high,60,34,7.2,82
1.4,0.91,0.74,0.26,high,87,75,7.8,228
1.99,1.05,0.05,0.22,high,80,21,8.5,86
1.9,1.11,0.01,0.29,high,86,35,7.9,701
1.5,1.28,0.05,0.46,high,85,31,8.7,105
2.61,0.33,0,0.34,high,82,74,7.5,563
1.89,1.05,0.02,0.31,high,77,39,8,94
0.6,1.57,0.82,0.27,high,86,62,9.2,111
0.89,2.12,0,0.24,high,84,45,4.4,459
1.35,1.11,0.46,0.32,high,63,43,4.6,116
2.34,0.3,0,0.6,high,83,37,5.9,180
0.72,1.67,0.4,0.44,high,81,81,7.7,758
1.91,1,0.03,0.29,high,85,69,7.2,1267
1.18,0.89,0.94,0.2,high,88,85,8.7,691
1.48,1,0.04,0.66,high,91,79,8.6,565
1.78,1.12,0.09,0.19,high,62,30,8.1,137
1.35,0.59,0.8,0.43,high,83,67,8,463
2.15,0.76,0.01,0.26,high,82,63,7.6,85
1.27,1.29,0.12,0.49,high,89,78,7.7,1010
2.06,0.56,0.38,0.17,high,89,22,9.1,95
1.92,0.16,0.99,0.09,high,87,42,8.9,137
0.68,0,0,2.46,high,83,12,6.5,36
1.7,1.25,0.02,0.16,high,87,19,9,107
1.06,1.09,0.76,0.22,high,73,45,6.8,155
1.21,1.56,0.06,0.29,high,82,43,8.5,101
0.55,0.5,1.93,0.13,high,83,48,9,63
1.52,1.03,0.1,0.46,high,82,57,7.8,492
0.9,1,1.03,0.17,high,81,12,7.8,10
1.69,0.85,0.14,0.43,high,93,45,8,604
1.4,1.01,0.46,0.23,high,91,81,8.9,1057
0.88,0.94,0.88,0.4,high,74,34,5.4,1304
1.99,0.81,0.03,0.27,high,96,98,8.9,3143
2.17,0.28,0.55,0.08,high,67,28,7.9,71
2.5,0.16,0.01,0.42,high,94,23,7.9,46
1.72,1.21,0,0.14,high,75,18,7.8,22
1.8,0.97,0,0.29,high,74,17,7.9,22
0.51,1.02,1.4,0.12,high,66,60,6.9,106
1,1.82,0,0.23,high,70,74,3.9,2057
1.89,0.88,0.04,0.25,high,89,59,8.2,892
1.75,1.01,0,0.29,high,72,16,8,16
1.91,0.84,0,0.29,high,75,42,7.4,32
1.94,0.84,0.03,0.24,high,93,74,5.8,3725
1.29,1.21,0.06,0.47,high,87,107,7.7,2759
