Global_Sales,Critic_Score,User_Score
high,63,7.5
high,64,7.8
high,94,8.7
high,93,5.5
high,59,7.8
high,89,9
high,80,8.9
high,89,8.4
high,81,8.7
high,80,7.9
high,76,7.9
high,77,7.3
high,85,7.2
high,55,6
high,79,8.5
high,87,6.6
high,91,8.4
high,87,8.4
high,87,8.1
high,79,7.5
high,83,8.6
high,89,8.7
high,72,6.1
high,88,8.2
high,79,8.4
high,86,7.7
high,86,8.2
high,88,8
high,69,8.8
high,81,7.9
high,85,6.4
high,64,6.1
high,77,7.8
high,60,6.1
high,86,7.3
high,86,8
high,77,8.3
high,81,8.1
high,60,6.7
high,77,8.4
high,89,8.3
high,81,6.1
high,80,5.8
high,89,8.2
high,86,8.6
high,65,6.9
high,80,6.7
high,78,7.1
high,80,8.9
high,68,6
high,75,7.8
high,83,5.9
high,73,8.9
high,76,8.1
high,63,6.3
high,60,9.3
high,88,6.9
high,87,8
high,82,8
high,73,8.7
high,84,6.2
high,79,7.4
high,84,8.9
high,82,7.9
high,73,7.4
high,84,8
high,81,7.9
high,79,6.5
high,84,7.5
high,92,8.9
high,84,7.3
high,88,7.4
high,74,6.9
high,84,7.8
high,71,8.6
high,74,8.4
high,79,7.1
high,73,8.2
high,84,8.1
high,90,8.6
high,83,8.1
high,57,6.5
high,74,7.3
high,83,5.7
high,93,8.3
high,84,6.7
high,93,7.4
high,73,7.5
high,74,8.5
high,81,6.2
high,79,8
high,69,7.4
high,91,9.2
high,61,7.3
high,78,7.8
high,94,7.2
high,89,8.6
high,63,6
high,78,8.5
high,80,6.6
high,78,8.3
high,80,7
high,78,6.1
high,68,8.2
high,75,7.7
high,85,7.2
high,49,6.2
high,67,5.9
high,56,5
high,75,8.6
high,74,7.8
high,79,7.9
high,72,7.5
high,66,7.6
high,77,8.4
high,85,8.4
high,73,7.4
high,76,8.3
high,67,7.3
high,89,8.9
high,93,9.4
high,73,7.2
high,69,7.2
high,91,8.1
high,83,8.7
high,59,6.3
high,77,8.9
high,84,7.2
high,85,9.1
high,75,6.2
high,75,8.5
high,30,2
high,86,8.6
high,71,6.3
high,69,6.3
high,78,8
high,85,8.5
high,80,4.9
high,79,8.1
high,68,5.8
high,59,7.7
high,75,7.2
high,65,8.9
high,86,8
high,76,6.3
high,68,7.4
high,63,6.9
high,83,8.5
high,79,8.4
high,86,7.6
high,69,8.8
high,52,6.2
high,87,8.6
high,81,8.9
high,52,6.8
high,87,8.3
high,85,9
high,78,7.7
high,78,6.9
high,76,7.8
high,61,8.1
high,79,7.7
high,76,6.4
high,32,4.6
high,83,5.9
high,91,8.8
high,70,8.1
high,57,5.5
high,63,7.2
high,80,8.5
high,76,8.3
high,80,9.1
high,70,6.7
high,75,7.3
high,63,7.7
high,82,7.8
high,78,8.2
high,63,7.5
high,86,9.5
high,89,8.3
high,89,7.8
high,84,8.7
high,71,8.4
high,70,6.9
high,73,7.8
high,85,7.7
high,69,8.5
high,85,8.1
high,86,8.6
high,73,7.4
high,86,9
high,76,8.3
high,75,7.6
high,71,5.1
high,87,7.7
high,85,8.6
high,59,5.1
high,73,8.2
high,78,8.4
high,82,7.1
high,65,7.1
high,70,7
high,92,8.5
high,68,5.4
