Platform,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
DS,4.46,1.88,1.98,0.7,9.02
X360,5.03,2.86,0.1,0.85,8.84
SNES,3.54,1.24,3.81,0.18,8.76
PS4,1.11,6.06,0.06,1.26,8.49
Wii,1.79,3.53,2.49,0.68,8.49
XB,6.82,1.53,0.05,0.08,8.49
Wii,3.81,2.3,1.58,0.73,8.42
DS,2.91,1.86,3.14,0.43,8.33
PS3,1.06,5.05,0.13,2.01,8.24
PC,0.98,6.42,0,0.71,8.11
N64,5.8,2.01,0.13,0.15,8.09
Wii,2.58,3.9,0.66,0.91,8.06
PS2,2.91,2.07,2.73,0.33,8.05
PS,2.28,1.72,3.63,0.23,7.86
DS,2.82,1.78,2.69,0.55,7.84
2600,7.28,0.45,0,0.08,7.81
PSP,2.9,2.83,0.24,1.75,7.72
Wii,3.66,2.42,0.98,0.64,7.69
PS4,2.93,3.29,0.22,1.23,7.67
PS4,2.8,3.3,0.14,1.37,7.6
N64,4.1,1.89,1.45,0.16,7.6
PS,3.78,2.17,1.31,0.31,7.58
NES,5.39,1.18,0.7,0.19,7.46
3DS,3.24,1.35,2.42,0.43,7.45
X360,4.79,1.9,0,0.69,7.37
X360,4.46,2.13,0.06,0.69,7.34
Wii,3.83,2.19,0.6,0.7,7.31
XOne,4.52,2.09,0.01,0.67,7.3
Wii,3.51,3.03,0,0.73,7.27
PS3,2.85,2.93,0.35,1.1,7.23
PS2,3.27,2.83,0.08,1.02,7.2
PS,3.27,2.22,1.4,0.29,7.16
PS,3.68,1.75,1.42,0.28,7.13
GC,4.41,1.04,1.39,0.22,7.07
WiiU,3.13,2.07,1.27,0.49,6.96
PS4,2.47,3.15,0.24,1.1,6.96
GC,4.12,1.77,0.87,0.19,6.95
Wii,4.14,2.21,0,0.56,6.91
PS3,0.78,4.32,0.07,1.73,6.9
PS2,2.71,3.02,0.08,1.09,6.9
PS2,2.93,2.75,0.17,0.99,6.83
PS3,2.77,2.8,0.19,1.06,6.83
PS,3.23,2.35,0.94,0.3,6.82
Wii,3.5,2.64,0,0.67,6.81
X360,4.15,1.92,0.06,0.64,6.76
PS3,3.27,2.25,0.21,1,6.73
PS3,3.1,2.3,0.28,1.04,6.72
PS3,0.84,4.32,0.11,1.42,6.69
DS,1.67,2.78,1.6,0.62,6.67
PS3,2.79,2.61,0.17,1.03,6.6
PS4,0.79,4.29,0.05,1.47,6.59
Wii,3.25,1.84,1.03,0.47,6.59
PS3,2.55,2.71,0.25,1.05,6.56
NES,3.74,0.93,1.69,0.14,6.51
PS3,2.64,2.56,0.16,1.14,6.5
XB,4.98,1.3,0.08,0.07,6.43
GBA,2.57,1.58,2.06,0.21,6.41
PS2,3.64,1.2,1.49,0.07,6.4
GB,2.55,1.56,1.29,0.99,6.39
X360,4.34,1.35,0.06,0.61,6.36
X360,3.7,1.97,0.09,0.57,6.34
GC,4.01,1.26,0.87,0.17,6.31
SNES,2.47,0.83,2.87,0.12,6.3
PC,0.07,6.21,0,0,6.28
PS,3.11,2.8,0.02,0.33,6.27
X360,3.92,1.78,0.03,0.51,6.24
X360,4.05,1.62,0.07,0.49,6.24
X360,3.54,1.9,0.07,0.6,6.11
PS2,2.45,2.01,0.87,0.72,6.05
GEN,4.47,1.2,0.16,0.19,6.03
PS3,2.63,1.74,0.83,0.83,6.03
PS,3.18,1.83,0.78,0.24,6.03
PS3,2.41,2.28,0.28,1.01,5.99
PS2,1.88,0,2.33,1.74,5.95
PS3,2.8,2.05,0.17,0.9,5.92
DS,0.66,0.69,4.35,0.15,5.84
Wii,3.66,1.63,0,0.53,5.83
PS,1.88,1.47,2.02,0.45,5.82
PS,2.26,1.89,1.36,0.23,5.74
DS,3.13,1.94,0.07,0.58,5.72
PS4,2.49,2.05,0.16,0.96,5.65
NES,2.97,0.69,1.81,0.11,5.58
PS3,2.54,1.95,0.21,0.87,5.57
N64,2.95,0.6,1.97,0.04,5.55
X360,3.28,1.65,0.07,0.55,5.55
PS3,2.7,1.91,0.11,0.8,5.53
X360,2.99,1.92,0.1,0.51,5.51
PSP,0.47,0.57,4.13,0.34,5.5
GBA,3.14,1.24,0.91,0.2,5.49
GBA,2.62,1.64,0.99,0.23,5.47
GBA,3.21,1.11,0.95,0.2,5.46
N64,3.18,1.24,0.94,0.09,5.45
PS3,2.72,1.87,0,0.84,5.43
PS2,2.07,2.29,0.24,0.82,5.42
PS3,1.97,2.51,0,0.94,5.42
PS3,1.74,1.24,1.87,0.52,5.36
GB,2.18,0.96,2,0.2,5.34
GB,3.02,1.12,1.01,0.16,5.31
X360,3.13,1.71,0.03,0.44,5.3
PS,1.62,0.77,2.78,0.14,5.3
PS2,1.92,1.08,2.11,0.17,5.29
N64,3.33,0.79,1.09,0.06,5.27
X360,3.1,1.56,0.08,0.51,5.27
DS,1.22,2.48,1.03,0.52,5.26
PS,2.3,2.46,0.2,0.28,5.24
PS2,4.26,0.26,0.01,0.71,5.23
PS2,0.65,0.75,3.61,0.2,5.21
PC,2.43,2.15,0,0.62,5.2
GBA,2.93,1.25,0.83,0.2,5.2
WiiU,2.32,1.3,1.27,0.31,5.19
GB,2.49,0.98,1.57,0.15,5.19
X360,1.08,3.48,0.03,0.58,5.18
DS,1.9,1.83,0.95,0.49,5.17
SNES,2.1,0.74,2.2,0.11,5.15
3DS,0.96,2.02,1.89,0.28,5.15
DS,1.64,2.48,0.44,0.58,5.14
PS2,1.98,2.23,0.13,0.8,5.13
GB,2.71,0.61,1.7,0.11,5.13
X360,3.59,1.11,0.05,0.38,5.13
XOne,3.21,1.53,0.01,0.38,5.13
PC,3.22,1.69,0,0.2,5.12
PS2,3.81,0.63,0,0.68,5.12
PS3,1.96,1.43,1.08,0.65,5.11
XOne,2.66,2.01,0,0.41,5.08
PSP,1.7,2.02,0.16,1.21,5.08
PS3,0.6,3.29,0.06,1.13,5.08
GB,3.4,1.3,0.15,0.22,5.07
PS,2.05,1.16,1.11,0.73,5.05
PS,3.42,1.38,0.02,0.2,5.02
WiiU,2.59,1.06,0.8,0.57,5.02
PS,2.79,1.89,0,0.33,5.01
PS,3.36,1.36,0.07,0.21,5
Wii,3.06,1.18,0.29,0.46,5
PS2,3.49,0.01,0.01,1.48,4.98
X360,3.39,1.03,0.09,0.44,4.96
DS,1.85,1.2,1.54,0.37,4.96
PS3,2.31,1.73,0.12,0.78,4.94
PS2,3.98,0.26,0.01,0.66,4.91
DS,2.89,1.54,0,0.46,4.9
N64,2.91,0.99,0.89,0.1,4.88
PSP,0,0,4.87,0,4.87
NES,2.62,0.6,1.52,0.1,4.85
PS3,2.74,1.36,0.12,0.63,4.84
PC,2.56,1.68,0,0.59,4.83
PS3,1.91,2,0.09,0.83,4.83
PS3,0.57,3.14,0.04,1.07,4.82
PS,2.57,1.57,0.44,0.21,4.79
PS4,0.28,3.75,0.06,0.69,4.77
X360,2.99,1.31,0.04,0.41,4.76
PS,2.36,2.1,0.02,0.25,4.73
PS2,1.73,2.19,0,0.79,4.7
PS,3.05,1.41,0.02,0.2,4.68
Wii,1.87,1.12,1.32,0.37,4.68
PS2,1.94,1.95,0.08,0.7,4.67
X360,2.08,2.04,0.06,0.47,4.64
PS,2.29,1.97,0.13,0.24,4.63
Wii,3.06,1.12,0,0.44,4.62
SNES,2.42,0.91,1.15,0.13,4.61
GC,2.6,0.99,0.89,0.13,4.6
Wii,1.89,1.99,0.22,0.48,4.58
3DS,1.78,1.39,1.1,0.3,4.58
WiiU,1.55,1.15,1.44,0.43,4.57
PS4,1.78,1.87,0.07,0.82,4.55
X360,3.19,0.92,0.01,0.42,4.53
PS2,4.18,0.26,0.01,0.08,4.53
2600,4.21,0.24,0,0.05,4.5
PS2,3.63,0.24,0.01,0.61,4.49
PS2,2.71,1.51,0.03,0.23,4.48
PS,0.2,0.14,4.1,0.02,4.47
PS4,1.96,1.69,0.08,0.74,4.47
PS3,1.54,1.94,0.19,0.77,4.45
PS2,2.71,1.29,0.02,0.43,4.45
WiiU,2.55,1.11,0.46,0.33,4.44
Wii,2.67,1.35,0.01,0.39,4.42
PS2,2.66,1.29,0.01,0.46,4.41
PS2,0.1,2.39,1.05,0.86,4.39
X360,2.82,1.05,0.13,0.4,4.39
NES,2.19,0.5,1.61,0.08,4.38
PS2,2.03,1.79,0.08,0.47,4.37
PS3,1.73,1.73,0.14,0.75,4.35
GEN,3.03,0.91,0.26,0.13,4.34
PS2,2.2,0.58,1.38,0.17,4.33
X360,0.92,2.93,0.01,0.46,4.31
X360,2.75,1.18,0,0.37,4.31
2600,4,0.26,0,0.05,4.31
X360,2.51,1.27,0.11,0.41,4.31
XOne,2.64,1.2,0.03,0.39,4.26
WiiU,2.11,1.11,0.72,0.3,4.25
PS3,2.23,1.34,0.07,0.61,4.25
PS3,1.41,2.02,0.1,0.72,4.24
GBA,3,1.11,0.05,0.07,4.24
PS2,1.46,0,0.83,1.93,4.23
PSP,2.45,1.02,0,0.75,4.22
PC,1.7,2.27,0,0.23,4.21
3DS,2.03,1.27,0.62,0.3,4.21
PS2,0.78,2.55,0.04,0.84,4.21
PS2,0.88,2.3,0.2,0.83,4.2
PS4,1.3,2.07,0.18,0.65,4.2
PS3,1.28,1.83,0.57,0.53,4.2
X360,2.25,1.47,0.04,0.43,4.19
PS3,2.02,1.06,0.58,0.53,4.19
X360,0.84,2.79,0.02,0.53,4.19
NES,3.38,0.44,0.31,0.04,4.17
NES,2.04,0.48,1.57,0.07,4.16
PS,3.79,0.27,0,0.11,4.16
PS2,3.36,0.21,0.01,0.56,4.14
PS4,1.4,1.86,0.11,0.77,4.14
PC,4.03,0,0.09,0,4.12
SNES,1.65,0.61,1.76,0.09,4.12
PS2,0.71,2.48,0.03,0.89,4.11
Wii,2.14,1.2,0.37,0.4,4.1
SNES,1.42,0.51,2.1,0.07,4.1
Wii,2.13,1.5,0.05,0.42,4.1
XOne,2.45,1.26,0.01,0.37,4.09
PC,2.57,1.52,0,0,4.09
X360,2.65,1.06,0.04,0.33,4.08
PS2,2.32,0.04,0.04,1.67,4.07
X360,2.35,1.28,0.03,0.41,4.06
PS2,0.12,2.26,0.9,0.77,4.06
PS,2.28,1.55,0.16,0.06,4.05
PS2,1.68,1.51,0.51,0.35,4.05
PS4,1.12,2.12,0.1,0.69,4.03
N64,2.78,0.58,0.64,0.04,4.03
PS4,1.38,1.87,0.12,0.65,4.02
NES,1.22,0.28,2.46,0.04,4.01
PS3,2.15,1.2,0.07,0.59,4.01
DS,0.92,1.78,0.92,0.37,4
X360,2.67,0.89,0.05,0.37,3.99
PS2,2.08,1.35,0,0.54,3.98
Wii,2.1,1.36,0.06,0.4,3.92
PS4,1.18,1.96,0.08,0.7,3.92
GB,1.97,0.76,1.07,0.11,3.91
PS2,2.29,1.17,0.01,0.42,3.9
PS3,1.33,1.71,0.13,0.73,3.89
3DS,0.67,0.49,2.62,0.11,3.89
PS3,1.53,1.61,0.06,0.67,3.88
PC,1.15,2.09,0,0.64,3.88
PS2,0.93,1.94,0.31,0.7,3.87
NES,0.1,0,3.77,0,3.87
PS3,2.12,1.14,0.1,0.51,3.87
PS4,2.48,0.65,0.03,0.69,3.85
PS2,0.16,1.89,1.12,0.68,3.85
DS,0.87,1.57,1.05,0.35,3.84
PS,2.12,1.44,0.22,0.06,3.84
GB,2.21,0.96,0.54,0.13,3.83
DS,2.26,0.48,0.81,0.27,3.83
Wii,1.06,1.93,0.41,0.43,3.82
3DS,1.44,1.37,0.73,0.27,3.81
PS4,1.49,1.58,0.1,0.61,3.79
Wii,1.14,1.91,0.27,0.46,3.78
X360,2.4,1.03,0,0.36,3.78
PS,1.82,1.24,0.47,0.25,3.77
PSP,1.4,1.4,0.1,0.87,3.77
Wii,1.98,1.47,0,0.32,3.76
PC,2.03,1.56,0,0.17,3.76
Wii,1.98,0.88,0.59,0.32,3.76
PS,1.37,2,0.14,0.22,3.73
PS4,0.96,2,0.21,0.56,3.73
PS,1.3,0.77,1.54,0.11,3.72
PS,1.93,1.58,0,0.19,3.71
PS2,0.58,2.48,0.04,0.59,3.7
GB,1.49,0.73,1.38,0.1,3.7
PS3,1.3,1.51,0.27,0.61,3.69
DS,1.59,1.61,0.08,0.41,3.69
DS,0,0,3.67,0,3.67
PS2,2.13,1.18,0.01,0.35,3.67
PSP,1.65,1.22,0,0.79,3.66
N64,1.87,1.13,0.55,0.1,3.65
PS2,2.53,0.81,0.06,0.24,3.65
Wii,2.33,0.97,0,0.35,3.65
PS3,0.71,1.8,0.4,0.74,3.64
PS2,2.08,1.09,0.15,0.33,3.64
N64,2.23,0.68,0.66,0.06,3.63
PS3,0.6,2.46,0.05,0.52,3.63
PS2,0.05,0,0.64,2.93,3.63
PS4,1.78,1.42,0.05,0.38,3.63
PS2,2.08,0.83,0.46,0.25,3.62
PS4,1.28,1.61,0.15,0.57,3.61
PS2,1.93,1.22,0.03,0.44,3.61
PC,2.05,1.4,0,0.16,3.61
PS2,2.02,1.17,0,0.42,3.61
DS,1.61,1.5,0.1,0.39,3.61
GC,2.38,0.67,0.46,0.1,3.6
PS2,2.18,1.02,0.03,0.37,3.59
PS,2.01,1.35,0.06,0.16,3.58
PS,1.57,1.79,0,0.2,3.56
PS2,1.56,1.4,0.07,0.5,3.54
PS2,1.23,1.77,0.05,0.49,3.54
PS,1.66,1.58,0.12,0.18,3.54
PS2,1.9,1.13,0.1,0.41,3.53
PS2,1.98,1.14,0.01,0.41,3.53
X360,2.14,1.08,0.02,0.29,3.53
X360,0.71,2.4,0.02,0.4,3.53
PS,1.96,1.33,0,0.23,3.52
PS,2.14,1.21,0.01,0.17,3.52
X360,2.66,0.5,0.05,0.3,3.52
DS,1.22,1.66,0.27,0.38,3.52
X360,2.11,0.94,0.12,0.34,3.51
SNES,1.17,0.5,1.75,0.08,3.51
X360,2.84,0.39,0.03,0.24,3.5
NES,1.64,0.38,1.42,0.06,3.5
X360,2.2,0.97,0.02,0.31,3.5
DS,0.59,1.83,0.73,0.35,3.5
PS2,0.59,2.36,0.04,0.51,3.49
XOne,1.94,1.22,0.02,0.31,3.49
X360,2.09,1.02,0.04,0.32,3.48
DS,2.11,1.01,0.01,0.35,3.48
XOne,2.26,0.89,0,0.3,3.46
PS3,0.88,1.75,0.1,0.72,3.45
3DS,0,0,3.44,0,3.44
X360,2.39,0.73,0.03,0.29,3.44
PS2,1.55,1.27,0.33,0.29,3.44
PS4,1.34,1.54,0.17,0.38,3.43
PS3,1.82,1.07,0.06,0.47,3.42
PS,1.13,2.07,0,0.22,3.42
SNES,0.86,0,2.55,0.02,3.42
PS2,1.75,1.2,0.02,0.43,3.41
GB,1.73,0.69,0.59,0.4,3.41
PS2,0.46,2.28,0.05,0.61,3.4
PS,1.56,1.47,0.19,0.17,3.39
X360,2.03,1.03,0,0.32,3.38
PS4,1.08,1.35,0.48,0.47,3.38
DS,1.43,0.94,0.74,0.27,3.38
PS,2.47,0.76,0,0.13,3.36
N64,1.9,0.67,0.73,0.06,3.36
DS,0.65,1.61,0.82,0.28,3.36
PS,1.63,1.53,0,0.18,3.34
X360,1.9,1.14,0.01,0.29,3.34
DS,0,0.99,2.32,0.02,3.33
PS2,1.45,1.29,0.12,0.46,3.33
PS2,1.44,1.01,0.57,0.3,3.33
Wii,1.15,1.17,0.76,0.24,3.32
PS2,1.47,1.39,0.03,0.43,3.32
PS2,1.99,1.05,0.05,0.22,3.31
PS2,1.5,1.28,0.05,0.46,3.28
PS4,0.8,1.92,0.06,0.5,3.28
XOne,2.13,0.92,0,0.23,3.28
PS2,1.89,1.05,0.02,0.31,3.27
Wii,1.36,1.13,0.46,0.32,3.27
PSP,0.5,1.59,0.31,0.87,3.27
3DS,0.25,0.19,2.78,0.04,3.26
PS,0.95,1.3,0.77,0.22,3.24
XOne,0.88,2.11,0,0.23,3.23
PS3,1.27,1.33,0.12,0.51,3.23
PS4,2.33,0.3,0,0.59,3.22
3DS,0.03,0,3.18,0,3.22
PS,1.72,1.33,0,0.16,3.21
NES,0.73,0.1,2.35,0.02,3.2
SNES,2.26,0.72,0.12,0.1,3.2
PS,1.76,1.21,0.07,0.16,3.2
PSP,1.35,0.6,0.8,0.44,3.19
PSP,1.48,1.01,0.04,0.66,3.19
SNES,0,0,3.19,0,3.19
X360,2.15,0.77,0.01,0.26,3.19
PS2,1.78,1.12,0.09,0.19,3.18
WiiU,1.18,0.87,0.93,0.2,3.18
PS3,1.52,1.08,0.1,0.47,3.17
Wii,1.86,1.02,0,0.29,3.17
DS,0.58,0.51,1.93,0.14,3.17
PS2,2.06,0.56,0.38,0.17,3.17
DS,1.88,0.98,0,0.3,3.16
GC,1.92,0.16,0.99,0.09,3.15
DS,1.79,1.06,0,0.29,3.15
DS,1.22,1.57,0.06,0.29,3.15
PS3,0.88,0.97,0.88,0.42,3.15
XOne,1.89,0.99,0.03,0.24,3.15
PS2,0.68,0,0,2.46,3.14
PS,1.7,1.25,0.02,0.16,3.13
PS,2.14,0.86,0,0.13,3.12
N64,2.31,0.62,0.14,0.04,3.12
DS,0.91,1,1.03,0.17,3.12
PS3,1.69,0.87,0.14,0.42,3.12
NES,0.08,0,3.03,0.01,3.12
PS3,1.29,1.27,0.06,0.5,3.12
X360,1.99,0.82,0.03,0.27,3.11
X360,0.78,2.02,0,0.3,3.11
PS2,2.17,0.28,0.55,0.08,3.09
PS2,2.5,0.16,0.01,0.42,3.08
NES,1.92,0.45,0.64,0.07,3.08
X360,1.89,0.91,0.04,0.24,3.07
3DS,1.4,0.99,0.46,0.22,3.07
GB,1.57,0.62,0.55,0.34,3.07
PC,1.72,1.21,0,0.14,3.07
X360,1.94,0.86,0.03,0.24,3.07
X360,1.91,0.84,0,0.29,3.05
X360,1.38,1.35,0.02,0.28,3.04
Wii,2.06,0.64,0.12,0.22,3.04
X360,1.94,0.8,0.02,0.27,3.03
PS,1.54,1.33,0,0.16,3.03
PS3,1.4,1.07,0.08,0.47,3.02
XB,1.85,1.04,0,0.13,3.02
NES,2.03,0.47,0.45,0.07,3.02
PS2,1.45,1.13,0.07,0.38,3.02
XOne,2.38,0.32,0,0.31,3
X360,2.6,0.21,0.01,0.19,3
PS2,1.15,0,0.76,1.09,3
PS2,1.57,1.02,0,0.41,3
PS4,1.01,1.41,0.05,0.53,2.99
SNES,1.61,0.51,0.8,0.07,2.99
PC,1.67,1.18,0,0.13,2.99
PS2,0.12,1.26,1.16,0.45,2.99
PS2,1.36,0.86,0.64,0.13,2.99
3DS,0.47,1,1.39,0.12,2.98
PS3,1.33,1.12,0.08,0.45,2.97
PC,0.96,1.72,0,0.29,2.97
PC,1.58,1.01,0,0.38,2.97
PS2,1.04,1.37,0.06,0.49,2.96
DS,1.57,0.04,1.19,0.15,2.96
PS2,1.36,1.15,0.04,0.41,2.96
X360,1.82,0.71,0.15,0.26,2.95
N64,1.98,0.58,0.34,0.04,2.94
PS2,2.22,0.51,0.06,0.15,2.94
PS2,1.45,1.11,0.04,0.33,2.94
PS3,1.76,0.69,0.12,0.37,2.94
GBA,2.07,0.77,0.05,0.05,2.94
X360,1.83,0.8,0.03,0.27,2.93
Wii,0.87,1.06,0.73,0.26,2.92
Wii,1.43,1.13,0.05,0.3,2.91
GBA,1.75,0.45,0.62,0.09,2.91
PS4,0.61,1.85,0.11,0.33,2.9
XOne,1.84,0.8,0.04,0.22,2.9
PS2,1.54,1.14,0,0.22,2.9
X360,1.75,0.86,0,0.28,2.9
PS2,0.08,1.24,1.13,0.45,2.9
PS3,0.71,1.51,0.06,0.61,2.89
PS2,0.99,0.32,1.38,0.2,2.89
PS2,1.51,1.12,0.01,0.24,2.89
Wii,1.54,1.07,0,0.28,2.88
PS,2.03,0.72,0.02,0.11,2.88
DS,1.3,1.27,0,0.31,2.88
PS,0.09,2.43,0.12,0.22,2.87
XOne,1.87,0.77,0,0.22,2.86
X360,2.53,0.16,0,0.17,2.86
XB,2.09,0.63,0.03,0.11,2.86
PS3,1.98,0.55,0,0.32,2.85
SNES,1.37,0.51,0.89,0.07,2.85
N64,1.29,0.53,0.98,0.05,2.85
PC,1.37,1.34,0,0.14,2.85
Wii,1.4,1.14,0,0.31,2.85
PS3,0.4,1.98,0.05,0.42,2.85
PS3,1.87,0.57,0.11,0.3,2.84
X360,1.65,0.86,0.05,0.28,2.83
X360,2.52,0.09,0,0.22,2.83
PS3,1.28,1.05,0.07,0.43,2.83
PS2,1.32,1.08,0.04,0.39,2.83
GC,1.96,0.67,0.1,0.09,2.82
GBA,1.59,1.05,0.04,0.14,2.82
PC,0.02,2.79,0,0,2.81
PS3,1.05,1.25,0.03,0.48,2.81
DS,1.32,1.19,0,0.3,2.81
PS2,1.32,1.06,0.04,0.38,2.8
X360,1.74,0.8,0,0.26,2.8
DS,1.47,0.07,1.1,0.15,2.8
PS,0.29,0.2,2.13,0.18,2.79
PS3,1.45,0.88,0.09,0.38,2.79
PS,1.96,0.72,0,0.11,2.79
PS2,1.19,1.15,0.04,0.41,2.79
SNES,0,0,2.78,0.01,2.79
PS,1.98,0.7,0,0.11,2.79
PC,0.89,1.43,0,0.48,2.79
PS2,2.19,0.22,0,0.38,2.79
DS,0.3,1.47,0.68,0.34,2.79
3DS,0.46,0.29,1.96,0.07,2.79
PS2,1.68,0.74,0,0.36,2.78
PS4,1.27,0.97,0.07,0.47,2.78
PS2,1.44,0.83,0.26,0.25,2.78
PS3,1.2,0.98,0.17,0.43,2.78
PS2,1.41,1.12,0,0.24,2.77
Wii,1.24,1.2,0.04,0.3,2.77
X360,1.25,1.15,0.07,0.3,2.77
2600,2.56,0.17,0,0.03,2.76
SNES,1.43,0.54,0.71,0.07,2.75
PS4,1.07,1.31,0.06,0.31,2.74
N64,1.02,0.36,1.13,0.23,2.73
NES,1.33,0.31,1.04,0.05,2.73
X360,1.52,0.94,0.02,0.24,2.72
X360,1.49,0.93,0.02,0.27,2.71
GBA,1.75,0.52,0.33,0.1,2.7
PS2,0.99,0.48,1.09,0.14,2.7
PS4,1.47,0.76,0,0.47,2.7
N64,1.25,0.53,0.87,0.05,2.7
X360,2.42,0.11,0,0.16,2.69
PS2,1.85,0.64,0.01,0.19,2.69
X360,2.38,0.12,0,0.18,2.69
DS,1.63,0.52,0.35,0.18,2.69
X360,1.46,0.98,0,0.24,2.68
PS2,1.23,1.11,0,0.34,2.68
3DS,0,0,2.68,0,2.68
PS3,0.69,1.41,0.04,0.53,2.68
PS3,0.78,0.75,0.89,0.26,2.68
GEN,1.95,0.63,0,0.09,2.67
PS2,1.48,0.92,0.01,0.26,2.67
X360,1.78,0.64,0,0.25,2.67
PS,1.44,1.09,0,0.14,2.67
XB,1.99,0.58,0,0.09,2.66
DS,1.59,0.8,0,0.26,2.65
PS2,1.15,1.11,0,0.4,2.65
Wii,1.56,0.88,0,0.22,2.65
PSP,0.86,1.11,0.01,0.66,2.65
NES,0,0,2.65,0,2.65
N64,2,0.5,0.12,0.03,2.65
X360,1.53,0.87,0,0.24,2.64
PS2,2,0.47,0.02,0.14,2.63
PSP,0.76,1.1,0.12,0.65,2.63
X360,1.53,0.82,0.04,0.24,2.63
PS3,1.7,0.46,0.06,0.41,2.63
PS2,2.15,0.12,0,0.36,2.62
Wii,1.07,1.06,0.24,0.25,2.62
X360,1.55,0.81,0.04,0.21,2.62
X360,0.59,1.79,0.01,0.23,2.62
X360,2.31,0.14,0.01,0.16,2.62
DS,0.63,0.84,0.96,0.19,2.61
PS2,0.9,1.22,0.04,0.44,2.61
Wii,1.02,0.52,0.92,0.14,2.6
GEN,1.86,0.55,0.11,0.08,2.6
PS3,0.48,1.63,0.04,0.43,2.59
PS3,0.93,1.12,0.08,0.45,2.59
PS2,2.03,0.21,0,0.35,2.59
PSP,0.64,1.24,0.01,0.69,2.58
PS4,0.89,1.33,0.07,0.28,2.58
X360,1.04,1.24,0.03,0.27,2.58
PSP,0.37,0.27,1.75,0.18,2.58
PS2,1.4,0.88,0.03,0.26,2.58
PS2,1.31,0.74,0.31,0.22,2.57
DS,0.28,1.68,0.33,0.28,2.57
X360,1.76,0.56,0.03,0.22,2.57
PS2,2.14,0.08,0,0.35,2.57
GC,1.7,0.59,0.21,0.07,2.56
NES,0.15,0,2.41,0,2.56
PS3,2.11,0.23,0,0.22,2.56
