Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
NBA In The Zone '98,Nintendo,1997,Sports,Konami Digital Entertainment,0.25,0.02,0,0,0.27,,,,,,
Shadow of Rome,Playstation,2005,Action,Capcom,0.13,0.1,0,0.03,0.27,75,52,8.3,62,Capcom,M
Rhythm Thief & the Emperor's Treasure,Nintendo,2012,Misc,Sega,0.07,0.07,0.12,0.01,0.27,,,,,,
One Piece Unlimited Cruise 1: The Treasure Beneath the Waves,Nintendo,2008,Adventure,Namco Bandai Games,0,0.07,0.19,0.01,0.27,,,,,,
Tohoku Daigaku Karei Igaku Kenkyuusho - Kawashima Ryuuta Kyouju Kanshuu - Mono Sugoku Nou o Kitaeru 5-Funkan no Oni Training,Nintendo,2012,Action,Nintendo,0,0,0.27,0,0.27,,,,,,
NASCAR 2011: The Game,Playstation,2011,Racing,Activision,0.25,0,0,0.02,0.27,62,16,3.7,15,Eutechnyx,E
Harry Potter and the Order of the Phoenix,Playstation,2007,Action,Electronic Arts,0.13,0.1,0,0.03,0.27,61,17,8,28,EA Games,E10+
Transformers: Cybertron Adventures,Nintendo,2010,Action,Activision,0.14,0.1,0,0.02,0.27,41,15,6.5,8,Next Level Games,T
Stuntman: Ignition,Playstation,2007,Racing,THQ,0.13,0.1,0,0.03,0.27,71,8,6.4,8,Paradigm Entertainment,T
Monopoly,Nintendo,2010,Misc,Electronic Arts,0.15,0.09,0,0.02,0.27,,,tbd,,,
Gun,Microsoft,N/A,Shooter,Activision,0.24,0.01,0,0.02,0.27,75,53,7.5,57,Neversoft Entertainment,M
NHL 2K11,Nintendo,2010,Sports,Take-Two Interactive,0.23,0.02,0,0.02,0.27,62,12,5.8,4,Visual Concepts,E10+
Fantastic 4,Microsoft,2005,Action,Activision,0.2,0.06,0,0.01,0.27,62,46,6.6,8,7 Studios,T
Mat Hoffman's Pro BMX,Nintendo,2001,Sports,Activision,0.19,0.07,0,0,0.27,71,11,tbd,,HotGen,E
Rapala Pro Bass Fishing 2010,Playstation,2010,Sports,Activision,0.18,0.05,0,0.03,0.27,,,8.5,4,FUN Labs,E
Wipeout 2,Microsoft,2011,Misc,Activision,0.25,0,0,0.02,0.27,,,tbd,,Endemol,E10+
MotoGP,Playstation,2000,Racing,Namco Bandai Games,0.06,0.05,0.14,0.02,0.27,77,16,6,5,Namco,E
Mass Effect 3,Nintendo,2012,Role-Playing,Electronic Arts,0.14,0.11,0,0.02,0.27,,,,,,
Batman: Arkham Origins Blackgate,Nintendo,2013,Action,Warner Bros. Interactive Entertainment,0.16,0.09,0,0.02,0.27,68,7,6.8,38,Armature Studio,T
Jikkyou Powerful Pro Yakyuu 2,Nintendo,1995,Sports,Konami Digital Entertainment,0,0,0.27,0,0.27,,,,,,
Shadows of the Damned,Playstation,2011,Action,Electronic Arts,0.11,0.09,0.04,0.03,0.27,77,56,8.1,124,Grasshopper Manufacture,M
Ratatouille: Food Frenzy,Nintendo,2007,Puzzle,THQ,0.25,0,0,0.02,0.27,,,,,,
LEGO Marvel's Avengers,Playstation,2016,Action,Warner Bros. Interactive Entertainment,0.1,0.12,0,0.04,0.27,,,5.5,8,TT Games,E10+
Rock Revolution,Playstation,N/A,Misc,Unknown,0.25,0,0,0.02,0.27,42,20,6.6,12,"Zoe Mode, HB Studios Multimedia",T
Thoroughbred Breeder II,Nintendo,1994,Simulation,Hect,0,0,0.27,0,0.27,,,,,,
Magical Vacation,Nintendo,2001,Role-Playing,Nintendo,0,0,0.26,0.01,0.27,,,,,,
XGIII: Extreme G Racing,Playstation,2001,Racing,Acclaim Entertainment,0.13,0.1,0,0.03,0.27,,,,,,
NASCAR Thunder 2003,Microsoft,2002,Racing,Electronic Arts,0.2,0.06,0,0.01,0.27,84,13,tbd,,EA Sports,E
Superbike 2000,Playstation,1999,Racing,Electronic Arts,0.15,0.1,0,0.02,0.27,,,,,,
Punch-Out!!,Nintendo,2007,Sports,Nintendo,0,0.22,0.05,0,0.27,,,,,,
Despicable Me: The Game,Nintendo,2010,Platform,D3Publisher,0.16,0.08,0,0.02,0.27,,,,,,
Final Fantasy XI: Ultimate Collection,Microsoft,2009,Role-Playing,Square Enix,0.25,0,0,0.02,0.27,,,tbd,,Square Enix,T
Fire Emblem: Shin Monshou no Nazo Hikari to Kage no Eiyuu,Nintendo,2010,Strategy,Nintendo,0,0,0.27,0,0.27,,,,,,
Connect Four / Perfection / Trouble,Nintendo,2005,Misc,Zoo Digital Publishing,0.19,0.07,0,0,0.27,,,,,,
NFL Street 3,Playstation,2006,Sports,Electronic Arts,0.24,0,0,0.02,0.27,68,13,tbd,,EA Tiburon,E
Pro Evolution Soccer 2013,Playstation,2012,Sports,Konami Digital Entertainment,0,0.07,0.18,0.03,0.27,,,tbd,,Konami,E
Alundra 2: A New Legend Begins,Playstation,1999,Role-Playing,Activision,0.15,0.1,0,0.02,0.27,,,,,,
Reign of Fire,Playstation,2002,Shooter,BAM! Entertainment,0.13,0.1,0,0.03,0.27,56,16,7,4,Kuju Entertainment,M
Scooby-Doo! and the Spooky Swamp,Playstation,2010,Action,Warner Bros. Interactive Entertainment,0.08,0.11,0,0.08,0.27,,,,,,
Beyblade: Metal Masters,Nintendo,2010,Action,Konami Digital Entertainment,0.14,0.09,0,0.03,0.27,65,4,tbd,,Amble,E
Jikkyou Powerful Pro Yakyuu '98 Ketteiban,Playstation,1998,Sports,Konami Digital Entertainment,0,0,0.25,0.02,0.27,,,,,,
Littlest Pet Shop: Beach Friends,Nintendo,2009,Simulation,Electronic Arts,0.25,0,0,0.02,0.27,,,tbd,,Electronic Arts,E
Ultimate NES Remix,Nintendo,2014,Action,Unknown,0.15,0.09,0,0.02,0.27,69,16,7.6,32,Indies Zero,E
I Spy: Spooky Mansion,Nintendo,2010,Puzzle,Storm City Games,0.25,0,0,0.02,0.27,,,tbd,,Gusto Games,E
The BIGS,Microsoft,2007,Sports,Take-Two Interactive,0.18,0.08,0,0,0.27,79,23,8.4,21,Blue Castle Games,E
Initial D: Special Stage,Playstation,2003,Racing,Sega,0,0,0.27,0,0.27,,,,,,
Jurassic Park: Operation Genesis,Playstation,2003,Simulation,Konami Digital Entertainment,0.13,0.1,0,0.03,0.27,75,13,8.9,21,Blue Tongue Entertainment,T
Final Doom,Playstation,1995,Shooter,GT Interactive,0.15,0.1,0,0.02,0.27,,,,,,
NBA ShootOut 2001,Playstation,2000,Sports,Sony Computer Entertainment,0.15,0.1,0,0.02,0.27,71,10,tbd,,989 Sports,E
Just Dance Kids 2,Nintendo,2011,Misc,Ubisoft,0.25,0,0,0.02,0.27,,,tbd,,Ubisoft,E
Knockout Kings 2002,Microsoft,2002,Sports,Electronic Arts,0.2,0.06,0,0.01,0.27,78,20,7.9,7,Electronic Arts,T
Pinkalicious,Nintendo,2011,Misc,GameMill Entertainment,0.25,0,0,0.02,0.27,,,tbd,,"GameMill Publishing, 1st Playable Productions",E
Cabela's Big Game Hunter 2010,Microsoft,2009,Sports,Activision Value,0.25,0,0,0.02,0.27,,,5.6,5,Activision,T
Battle Arena Toshinden 3,Playstation,1996,Fighting,Sony Computer Entertainment,0.06,0.04,0.14,0.02,0.27,,,,,,
Jade Cocoon: Story of the Tamamayu,Playstation,1998,Role-Playing,Crave Entertainment,0.15,0.1,0,0.02,0.27,,,,,,
Super Nazo Puyo: Ruruu no Ruu,Nintendo,1995,Puzzle,Banpresto,0,0,0.27,0,0.27,,,,,,
InuYasha: Feudal Combat,Playstation,2005,Fighting,Namco Bandai Games,0.13,0.1,0,0.03,0.27,52,14,8.3,21,Eighting,T
Reader Rabbit Kindergarten,Nintendo,2008,Misc,Nordic Games,0.25,0,0,0.02,0.27,,,tbd,,The Learning Company,E
R.U.S.E.,Microsoft,2010,Strategy,Ubisoft,0.12,0.11,0,0.02,0.27,78,45,7,38,Eugen Systems,T
Duel Masters,Playstation,2004,Strategy,Atari,0.13,0.1,0,0.03,0.27,66,20,8.3,6,High Voltage Software,E
Dragon Age Origins: Awakening,Playstation,2010,Role-Playing,Spike,0.24,0,0,0.02,0.27,,,,,,
Super Collapse! 3,Nintendo,2007,Puzzle,Mumbo Jumbo,0.25,0,0,0.02,0.27,71,10,tbd,,"Mac Play, MacPlay",E
Ratatouille,Microsoft,2007,Action,THQ,0.23,0.02,0,0.02,0.27,56,14,tbd,,Heavy Iron Studios,E
MotionSports: Adrenaline,Microsoft,2011,Sports,Ubisoft,0.14,0.1,0,0.03,0.27,41,8,7.4,7,Ubisoft Vancouver,E
The Dog Island,Playstation,2007,Adventure,Ubisoft,0.13,0.1,0,0.03,0.27,,,7,6,Yuke's,E
Cake Mania 2: Jill's Next Adventure!,Nintendo,2008,Puzzle,Majesco Entertainment,0.24,0,0,0.02,0.27,,,,,,
AC/DC LIVE: Rock Band Track Pack,Nintendo,2008,Misc,MTV Games,0.24,0,0,0.02,0.27,,,7.2,5,Harmonix Music Systems,T
Boogie,Nintendo,2007,Misc,Electronic Arts,0.24,0,0,0.02,0.27,58,11,tbd,,EA Montreal,E10+
Jikkyou Powerful Pro Yakyuu 2010,Playstation,2010,Sports,Konami Digital Entertainment,0,0,0.27,0,0.27,,,,,,
Operation Armored Liberty,Nintendo,2003,Action,Majesco Entertainment,0.19,0.07,0,0,0.27,,,tbd,,Majesco Games,T
NBA 07,Playstation,2006,Sports,Sony Computer Entertainment,0.24,0,0.01,0.02,0.27,63,24,6.3,10,SCEA,E
Call of Juarez: The Cartel,Microsoft,2011,Shooter,Ubisoft,0.14,0.1,0,0.03,0.27,47,62,5.7,109,Techland,M
My Japanese Coach,Nintendo,2008,Misc,Ubisoft,0.24,0,0,0.02,0.27,59,4,6.7,6,"Ubisoft, Sensory Sweep",E
Are You Smarter than a 5th Grader? Game Time,Nintendo,2009,Puzzle,THQ,0.25,0,0,0.02,0.27,,,tbd,,THQ,E
Need for Speed: Most Wanted,Nintendo,2005,Racing,Electronic Arts,0.24,0.01,0,0.02,0.27,45,4,6.1,22,EA Canada,E
And1 Streetball,Playstation,2006,Action,Ubisoft,0.13,0.1,0,0.03,0.27,,,,,,
Section 8,Microsoft,2009,Shooter,SouthPeak Games,0.15,0.09,0,0.02,0.27,69,49,7.3,59,TimeGate Studios,T
Summer Athletics: The Ultimate Challenge (US sales),Nintendo,2008,Sports,DTP Entertainment,0.23,0.03,0,0,0.27,,,,,,
Sonic X: Game Boy Advance Video Volume 1,Nintendo,2004,Misc,N/A,0.19,0.07,0,0,0.27,,,,,,
ESPN NBA Basketball,Microsoft,2003,Sports,Sega,0.2,0.06,0,0.01,0.27,87,18,8.2,25,Visual Concepts,E
Gallop Racer 2: One and Only Road to Victory,Playstation,1997,Sports,Tecmo Koei,0,0,0.25,0.02,0.27,,,,,,
Sesame Street: Cookie's Counting Carnival,Nintendo,2010,Misc,Warner Bros. Interactive Entertainment,0.25,0,0,0.02,0.26,,,,,,
Lowrider,Playstation,2002,Misc,Pacific Century Cyber Works,0.11,0.09,0.03,0.03,0.26,46,14,8.4,11,Pacific Century Cyber Works,T
Family Guy: Back to the Multiverse,Playstation,2012,Action,Activision,0.12,0.1,0,0.04,0.26,40,9,6.4,31,Heavy Iron Studios,M
All-Pro Football 2K8,Microsoft,2007,Sports,Take-Two Interactive,0.24,0,0,0.02,0.26,75,22,6.8,52,Visual Concepts,E10+
Dungeons & Dragons: Eye of the Beholder,Nintendo,2002,Role-Playing,Atari,0.19,0.07,0,0,0.26,,,,,,
Fish Tycoon,Nintendo,2007,Simulation,Majesco Entertainment,0.24,0,0,0.02,0.26,46,9,7,6,"LDW, Big Fish Games",E
Plants vs. Zombies,Microsoft,2010,Strategy,PopCap Games,0.24,0,0,0.02,0.26,89,27,8.2,160,PopCap,E10+
Megamind: The Blue Defender,Nintendo,2010,Adventure,THQ,0.19,0.06,0,0.02,0.26,,,,,,
Gundam Breaker,Playstation,2013,Action,Namco Bandai Games,0,0,0.26,0,0.26,,,,,,
Batman: Return to Arkham,Playstation,2016,Action,Warner Bros. Interactive Entertainment,0.07,0.16,0,0.04,0.26,73,28,8.5,79,"Rocksteady Studios, Virtuos",T
A.C.E.: Another Century's Episode R,Playstation,2010,Simulation,Namco Bandai Games,0,0,0.26,0,0.26,,,,,,
Rune: Viking Warlord,Playstation,2001,Action,Take-Two Interactive,0.13,0.1,0,0.03,0.26,53,16,7.3,11,Human Head Studios,M
The Incredible Hulk,Microsoft,2008,Action,Sega,0.22,0.02,0,0.02,0.26,55,42,6.4,24,Edge of Reality,T
Panzer Dragoon Orta,Microsoft,2002,Shooter,Sega,0.16,0.05,0.04,0.01,0.26,90,41,8.5,64,Smilebit,T
Jikkyou Powerful Pro Yakyuu '99 Ketteiban,Playstation,1999,Sports,Konami Digital Entertainment,0,0,0.25,0.02,0.26,,,,,,
Aikatsu! 2-nin no My Princess,Nintendo,2013,Action,Namco Bandai Games,0,0,0.26,0,0.26,,,,,,
King's Field II,Playstation,1996,Role-Playing,From Software,0.08,0.06,0.11,0.02,0.26,,,,,,
America's Test Kitchen: Let's Get Cooking,Nintendo,2010,Simulation,Nintendo,0.25,0,0,0.02,0.26,87,4,5.6,9,Indies Zero,E
NCAA Gamebreaker,Playstation,1996,Sports,Sony Computer Entertainment,0.15,0.1,0,0.02,0.26,,,,,,
Battle of Giants: Mutant Insects,Nintendo,2010,Strategy,Ubisoft,0.09,0.14,0,0.03,0.26,,,tbd,,Ubisoft,E10+
Petz: Horsez 2,Playstation,2007,Simulation,Ubisoft,0.13,0.1,0,0.03,0.26,,,tbd,,Ubisoft,E
NPPL: Championship Paintball 2009,Playstation,2008,Shooter,Activision Value,0.13,0.1,0,0.03,0.26,,,8.3,11,FUN Labs,E10+
Suikoden Tierkreis,Nintendo,2008,Role-Playing,Konami Digital Entertainment,0.09,0.01,0.15,0.01,0.26,76,24,7.4,37,Konami,E10+
Superman Returns,Microsoft,2006,Action,Electronic Arts,0.23,0.01,0,0.02,0.26,51,48,6.2,49,EA Tiburon,T
Shin Megami Tensei: Devil Survivor,Nintendo,2009,Role-Playing,Atlus,0.13,0,0.12,0.01,0.26,84,28,8.8,79,Atlus,T
Angry Birds Star Wars,Nintendo,2013,Strategy,Activision,0.15,0.09,0,0.02,0.26,,,2.8,5,Exient Entertainment,E
Tomba!,Playstation,1997,Platform,Sony Computer Entertainment,0.15,0.1,0,0.02,0.26,,,,,,
Love Plus,Nintendo,2009,Simulation,Konami Digital Entertainment,0,0,0.26,0,0.26,,,,,,
Tales of Eternia,Playstation,2005,Role-Playing,Ubisoft,0,0.01,0.25,0,0.26,,,,,,
Tales of Innocence,Nintendo,2007,Role-Playing,Namco Bandai Games,0,0,0.26,0,0.26,,,,,,
Tearaway Unfolded,Playstation,2015,Platform,Sony Computer Entertainment,0.09,0.13,0,0.04,0.26,81,70,8.1,188,Media Molecule,E
MLB SlugFest 2006,Playstation,2006,Sports,Midway Games,0.13,0.1,0,0.03,0.26,56,11,7.5,10,Blue Shift,E10+
Etrian Odyssey II: Heroes of Lagaard,Nintendo,2008,Role-Playing,Atlus,0.09,0,0.16,0.01,0.26,82,17,8.9,24,Atlus,E10+
Rugrats: I Gotta Go Party,Nintendo,2002,Action,THQ,0.19,0.07,0,0,0.26,,,,,,
The Incredible Hulk,Playstation,2008,Action,Sega,0.22,0.02,0,0.02,0.26,55,26,6.8,20,Edge of Reality,T
Deadly Premonition,Microsoft,2010,Action,Rising Star Games,0.18,0.06,0,0.02,0.26,68,39,8.2,332,Access Games,M
Family Feud: 2010 Edition,Nintendo,2009,Misc,Ubisoft,0.24,0,0,0.02,0.26,,,tbd,,Ludia Inc.,E
DS Bungaku Zenshuu,Nintendo,2007,Misc,Nintendo,0,0,0.26,0,0.26,,,,,,
Bolt,Playstation,2008,Adventure,Disney Interactive Studios,0.09,0.02,0,0.16,0.26,,,tbd,,Avalanche Software,E10+
Marvel Super Hero Squad: The Infinity Gauntlet,Nintendo,2010,Action,THQ,0.21,0.04,0,0.02,0.26,49,6,tbd,,THQ,E10+
Inazuma Eleven GO 3: Galaxy,Nintendo,2013,Sports,Level 5,0,0,0.26,0,0.26,,,,,,
Ford Racing 3,Playstation,2004,Racing,Take-Two Interactive,0.13,0.1,0,0.03,0.26,50,7,6.6,8,Razorworks Studios,E
J Stars Victory Vs.,Playstation,2015,Fighting,Namco Bandai Games,0.08,0.14,0,0.04,0.26,,,,,,
The Adventures of Tintin: The Game,Playstation,2011,Action,Ubisoft,0.06,0.15,0,0.05,0.26,59,27,5.7,13,Ubisoft Montpellier,E10+
Phantasy Star Universe: Ambition of the Illuminus,Playstation,2007,Role-Playing,Sega,0.1,0.08,0.05,0.03,0.26,,,8.4,8,Sonic Team,T
Jikkyou Powerful Pro Yakyuu 2013,Playstation,2013,Sports,Konami Digital Entertainment,0,0,0.26,0,0.26,,,,,,
Major League Baseball 2K10,Nintendo,2010,Sports,Take-Two Interactive,0.24,0,0,0.02,0.26,53,4,tbd,,Visual Concepts,E
The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron,Nintendo,2002,Action,THQ,0.19,0.07,0,0,0.26,55,5,tbd,,Human Soft,E
Dragon Ball Z: Tenkaichi Tag Team,Playstation,2010,Fighting,Namco Bandai Games,0.11,0.03,0.09,0.03,0.26,63,22,8.6,20,Spike,T
Etrian Odyssey Untold: The Millennium Girl,Nintendo,2013,Role-Playing,Atlus,0.1,0.01,0.14,0.01,0.26,80,41,8.2,89,Atlus,T
Sengoku Basara 2,Playstation,2006,Action,Capcom,0,0,0.26,0,0.26,,,,,,
Hey Arnold! The Movie,Nintendo,2002,Platform,THQ,0.19,0.07,0,0,0.26,,,,,,
Final Fantasy V Advance,Nintendo,2006,Role-Playing,Nintendo,0,0,0.26,0.01,0.26,83,25,7.2,75,TOSE,E
Need for Speed: Most Wanted,Nintendo,2005,Racing,Electronic Arts,0.19,0.07,0,0,0.26,,,8.3,14,EA Canada,E
Star Trek: Invasion,Playstation,2000,Simulation,Activision,0.15,0.1,0,0.02,0.26,76,12,tbd,,Warthog,E
LEGO Harry Potter: Years 5-7,Playstation,N/A,Action,Warner Bros. Interactive Entertainment,0.1,0.1,0,0.06,0.26,,,tbd,,Traveller's Tales,E10+
Tom and Jerry in War of the Whiskers,Playstation,2002,Fighting,Ubisoft,0.13,0.1,0,0.03,0.26,,,,,,
Ace Attorney Investigations 2,Nintendo,2011,Adventure,Capcom,0,0,0.26,0,0.26,,,,,,
Dynasty Warriors 7: Xtreme Legends,Playstation,2011,Action,Tecmo Koei,0.04,0.04,0.16,0.02,0.26,64,11,7.8,9,Omega Force,T
Bratz: The Movie,Nintendo,2007,Simulation,THQ,0.23,0.01,0,0.02,0.26,,,5,6,Blitz Games,E
TouchMaster 3(Others sales),Nintendo,2009,Puzzle,Warner Bros. Interactive Entertainment,0,0.24,0,0.02,0.26,,,,,,
Naruto: Ultimate Ninja Heroes,Playstation,2006,Fighting,Namco Bandai Games,0.26,0,0,0,0.26,70,11,6.6,11,Bandai,T
Angry Birds Trilogy,Microsoft,2012,Action,Activision,0.18,0.05,0,0.02,0.26,63,13,3.5,27,"Rovio Mobile, Rovio Entertainment",E
Jikkyou Powerful Pro Yakyuu 2011,Playstation,2011,Sports,Konami Digital Entertainment,0,0,0.26,0,0.26,,,,,,
Major League Baseball 2K9,Nintendo,2009,Sports,Take-Two Interactive,0.24,0,0,0.02,0.26,61,5,4.5,10,2K Sports,E
Yu-Gi-Oh! Ultimate Masters: World Championship Tournament 2006,Nintendo,2006,Misc,Konami Digital Entertainment,0.14,0.05,0.07,0.01,0.26,,,,,,
WWE 2K17,Microsoft,2016,Sports,Take-Two Interactive,0.12,0.12,0,0.02,0.26,68,12,5.5,27,Yuke's,T
Power Pro Kun Pocket 5,Nintendo,2003,Sports,Konami Digital Entertainment,0,0,0.25,0.01,0.26,,,,,,
Battlestations: Midway,Microsoft,2007,Strategy,Eidos Interactive,0.21,0.02,0,0.02,0.26,73,55,7.1,40,Eidos Interactive,T
Konjiki no Gashbell!! Makai no Bookmark,Nintendo,2004,Adventure,Banpresto,0,0,0.25,0.01,0.26,,,,,,
Riding Spirits,Playstation,2002,Racing,BAM! Entertainment,0.13,0.1,0,0.03,0.26,59,14,9,17,Spike,E
Project CARS,Microsoft,2015,Racing,Slightly Mad Studios,0.11,0.13,0,0.02,0.26,81,16,5.8,135,Slightly Mad Studios,E
MLB 09: The Show,Playstation,2009,Sports,Sony Computer Entertainment,0.24,0,0,0.02,0.26,78,12,6.9,7,SCEA San Diego Studios,E
Bust A Groove 2,Playstation,1999,Misc,Enix Corporation,0.04,0.03,0.18,0.02,0.26,66,8,8.9,35,Metro,E
Inazuma Eleven Strikers,Nintendo,2011,Role-Playing,Nintendo,0,0.01,0.25,0,0.26,59,16,7.9,10,Level 5,
The Amazing Spider-Man 2 (2014),Playstation,2014,Action,Activision,0.06,0.14,0.02,0.04,0.26,,,,,,
Hatsune Miku: Project Diva,Playstation,2009,Misc,Sega,0,0,0.26,0,0.26,,,,,,
Gundam Battle Universe,Playstation,2008,Fighting,Namco Bandai Games,0,0,0.26,0,0.26,,,,,,
Sengoku Basara: Battle Heroes,Playstation,2009,Action,Capcom,0,0,0.26,0,0.26,,,,,,
Armorines: Project S.W.A.R.M.,Nintendo,1999,Shooter,Acclaim Entertainment,0.21,0.05,0,0,0.26,,,,,,
Nightmare Creatures,Nintendo,1996,Action,Activision,0.21,0.05,0,0,0.26,,,,,,
Star Wars Episode I: Battle for Naboo,Nintendo,2000,Simulation,LucasArts,0.21,0.05,0,0,0.26,,,,,,
Duke Nukem: Zero Hour,Nintendo,1999,Shooter,GT Interactive,0.21,0.05,0,0,0.26,,,,,,
NCAA March Madness 08,Playstation,2007,Sports,Electronic Arts,0.13,0.1,0,0.03,0.26,,,5,8,EA Canada,E
Armored Core: Nexus,Playstation,2004,Simulation,Indie Games,0.06,0.05,0.14,0.02,0.26,73,19,8.7,7,From Software,T
Dora the Explorer: Dora Saves the Crystal Kingdom,Nintendo,2009,Misc,Take-Two Interactive,0.24,0,0,0.02,0.26,,,tbd,,Take-Two Interactive,E
Evolution Skateboarding,Playstation,2002,Sports,Konami Digital Entertainment,0.13,0.1,0,0.03,0.26,44,14,6.7,9,Konami,T
Dora the Explorer: The Search for Pirate Pig's Treasure,Nintendo,2002,Adventure,NewKidCo,0.19,0.07,0,0,0.26,,,tbd,,Cinegroupe,E
Yakuza: Ishin,Playstation,2014,Action,Sega,0,0,0.26,0,0.26,,,,,,
Babysitting Mania,Nintendo,2008,Simulation,Majesco Entertainment,0.24,0,0,0.02,0.26,,,tbd,,iWin,E
Scene It? Twilight,Nintendo,2009,Misc,Konami Digital Entertainment,0.16,0.07,0,0.02,0.26,49,5,tbd,,Artificial Mind and Movement,T
Outlaw Volleyball,Microsoft,2003,Sports,TDK Mediactive,0.19,0.06,0,0.01,0.26,77,33,8.4,7,Hypnotix,M
Tiger Woods PGA Tour 10,Playstation,2009,Sports,Electronic Arts,0.12,0.01,0,0.13,0.26,,,tbd,,EA Tiburon,E
Summer Sports 2: Island Sports Party,Nintendo,2008,Sports,Ubisoft,0.24,0,0,0.02,0.26,,,tbd,,Destineer,E
SD Gundam G Generation: Cross Drive,Nintendo,2007,Strategy,Namco Bandai Games,0,0,0.26,0,0.26,,,,,,
Dungeons & Dragons Heroes,Microsoft,2003,Role-Playing,Atari,0.19,0.06,0,0.01,0.26,,,,,,
Imagine: Fashion Party,Nintendo,2009,Simulation,Ubisoft,0.24,0,0,0.02,0.26,,,tbd,,"Lexis Numerique, Virtual Toys",E
McGrath Vs. Pastrana Freestyle Motocross,Playstation,2000,Racing,Acclaim Entertainment,0.14,0.1,0,0.02,0.26,,,,,,
Spider-Man: Web of Shadows,Playstation,2008,Action,Activision,0.2,0.04,0,0.02,0.26,67,44,7.9,34,"Treyarch, Shaba Games",T
Legaia 2: Duel Saga,Playstation,2001,Role-Playing,Eidos Interactive,0.13,0.1,0,0.03,0.26,67,21,8.4,43,Prokion,T
Samurai Warriors 4,Playstation,2014,Action,Tecmo Koei,0,0,0.26,0,0.26,,,8,11,Omega Force,T
Classic NES Series: Bomberman,Nintendo,2004,Action,Nintendo,0.1,0.04,0.11,0.01,0.26,,,,,,
Don King Boxing,Nintendo,2009,Sports,Take-Two Interactive,0.14,0.09,0,0.03,0.26,55,17,tbd,,2K Shanghai,T
ExciteBots: Trick Racing,Nintendo,2009,Racing,Nintendo,0.24,0,0,0.02,0.26,77,29,8.6,26,Monster Games Inc.,E
A.C.E.: Another Century's Episode,Playstation,2005,Simulation,Banpresto,0,0,0.26,0,0.26,,,,,,
Frogger's Journey: The Forgotten Relic,Nintendo,2003,Action,Konami Digital Entertainment,0.18,0.07,0,0,0.26,59,6,tbd,,Konami Computer Entertainment Hawaii,E
Dora the Explorer: Game Boy Advance Video Volume 1,Nintendo,2004,Misc,N/A,0.18,0.07,0,0,0.26,,,,,,
Oddworld: Stranger's Wrath,Microsoft,2005,Adventure,Electronic Arts,0.19,0.06,0,0.01,0.26,88,65,9.1,58,Oddworld Inhabitants,T
King of Fighters: Maximum Impact,Playstation,2004,Fighting,Ignition Entertainment,0.13,0.1,0,0.03,0.26,64,45,6.9,12,SNK Playmore,T
Marvel Super Heroes vs. Street Fighter,Playstation,1998,Fighting,Virgin Interactive,0.14,0.1,0,0.02,0.26,,,,,,
Atelier Ayesha: The Alchemist of Dusk,Playstation,2012,Role-Playing,Tecmo Koei,0.06,0.04,0.14,0.02,0.26,70,17,6.6,120,Gust,T
Bratz Ponyz 2,Nintendo,2008,Adventure,Game Factory,0.24,0,0,0.02,0.26,,,tbd,,Neko Entertainment,E
Battleborn,Playstation,2016,Shooter,Take-Two Interactive,0.12,0.08,0.02,0.04,0.26,68,55,6.8,402,Gearbox Software,T
Littlest Pet Shop: Friends,Nintendo,2009,Simulation,Electronic Arts,0.21,0.02,0,0.02,0.26,,,tbd,,Artech Studios,E
We Cheer 2,Nintendo,2009,Simulation,Namco Bandai Games,0.24,0,0,0.02,0.26,64,7,tbd,,"Machatin, Inc.",E10+
Drakan: The Ancients' Gates,Playstation,2002,Adventure,Sony Computer Entertainment,0.13,0.1,0,0.03,0.26,78,31,9,39,Surreal Software,M
Call of Duty: Modern Warfare 3: Defiance,Nintendo,2011,Shooter,Activision,0.19,0.04,0,0.02,0.26,,,,,,
"SpongeBob SquarePants: Lights, Camera, Pants!",Microsoft,2005,Misc,THQ,0.19,0.06,0,0.01,0.26,,,,,,
Resident Evil: Revelations,Microsoft,2013,Action,Capcom,0.12,0.1,0.02,0.02,0.26,75,30,7.4,170,Capcom,M
Tony Hawk: Shred,Microsoft,2010,Sports,Activision,0.17,0.06,0,0.02,0.26,53,10,6.6,10,Robomodo,E
Choro Q3,Playstation,1998,Racing,Takara,0,0,0.24,0.02,0.26,,,,,,
Tokyo Jungle,Playstation,2012,Action,Sony Computer Entertainment,0,0,0.26,0,0.26,74,60,8.4,89,Crispy's,T
Army of Two: The Devil's Cartel,Microsoft,2013,Shooter,Electronic Arts,0.16,0.07,0,0.02,0.26,54,55,6.2,195,Visceral Games,M
Puppeteer,Playstation,2013,Platform,Sony Computer Entertainment Europe,0.11,0.08,0.02,0.04,0.26,80,75,8.5,236,SCE Japan Studio,E10+
Bionicle: Matoran Adventures,Nintendo,2002,Platform,Electronic Arts,0.18,0.07,0,0,0.26,,,,,,
Tom Clancy's Splinter Cell: Double Agent,Playstation,2007,Action,Ubisoft,0.2,0.03,0,0.03,0.26,78,17,6.5,41,Ubisoft Shanghai,M
Armored Core: Master of Arena,Playstation,1999,Simulation,From Software,0.07,0.05,0.13,0.02,0.26,,,,,,
